QRS_duration,RR_interval,PQ_interval,QT_interval,file_name,,,,,,,,,
0.0926,0.8162,0.1009,0.3203,cycle_ecg_b2_0.0107.csv,,,,,,,,,
92.64,816.17,100.86,320.26,73.51,cycle_ecg_b2_0.0107.csv,,,,,,,,
91.49,821.6,99.98,302.12,73.03,cycle_ecg_b2_0.0108.csv,,,,,,,,
94.39,827.2,82.78,328.77,72.53,cycle_ecg_b2_0.0110.csv,,,,,,,,
94.39,827.2,82.78,328.77,72.53,cycle_ecg_b2_0.0110.csv,,,,,,,,
94.39,827.2,82.78,328.77,72.53,cycle_ecg_b2_0.0110.csv,,,,,,,,
94.39,827.2,82.78,328.77,72.53,cycle_ecg_b2_0.0110.csv,,,,,,,,
94.43,830.95,89.14,329.23,72.21,cycle_ecg_b2_0.0111.csv,,,,,,,,
93.91,834.92,87.13,328.84,71.86,cycle_ecg_b2_0.0112.csv,,,,,,,,
93.91,834.92,87.13,328.84,71.86,cycle_ecg_b2_0.0112.csv,,,,,,,,
93.91,834.92,87.13,328.84,71.86,cycle_ecg_b2_0.0112.csv,,,,,,,,
93.35,839.12,85.87,328.69,71.5,cycle_ecg_b2_0.0113.csv,,,,,,,,
93.62,843.15,82.8,329.57,71.16,cycle_ecg_b2_0.0114.csv,,,,,,,,
93.23,846.85,80.31,330.12,70.85,cycle_ecg_b2_0.0115.csv,,,,,,,,
92.13,805.62,104.57,328.22,74.48,cycle_ecg_b2_0.0105.csv,,,,,,,,
90.77,791.95,106.99,325.29,75.76,cycle_ecg_b2_0.0103.csv,,,,,,,,
90.77,791.95,106.99,325.29,75.76,cycle_ecg_b2_0.0103.csv,,,,,,,,
94.2,823.05,94.61,328.7,72.9,cycle_ecg_b2_0.0109.csv,,,,,,,,
90.91,795.28,108.21,325.28,75.45,cycle_ecg_b2_a_0.1120.0104.csv,,,,,,,,
90.91,795.28,108.21,325.28,75.45,cycle_ecg_b2_a_0.1120.0104.csv,,,,,,,,
91.2,799.79,107.02,325.46,75.02,cycle_ecg_b2_a_0.1120.0105.csv,,,,,,,,
91.76,800.1,103.95,326.21,74.99,cycle_ecg_b2_a_0.1120.0106.csv,,,,,,,,
91.95,804.53,102.45,327.22,74.58,cycle_ecg_b2_a_0.1120.0107.csv,,,,,,,,
90.97,809,101.18,326.82,74.17,cycle_ecg_b2_a_0.1120.0108.csv,,,,,,,,
92.18,813.42,98.49,319.3,73.76,cycle_ecg_b2_a_0.1120.0109.csv,,,,,,,,
94.22,817.74,94.21,302.03,73.37,cycle_ecg_b2_a_0.1120.0110.csv,,,,,,,,
94.66,825.72,91.06,290.08,72.66,cycle_ecg_b2_a_0.1120.0111.csv,,,,,,,,
94.66,825.72,91.06,290.08,72.66,cycle_ecg_b2_a_0.1120.0111.csv,,,,,,,,
93.54,825.21,79.35,327.24,72.71,cycle_ecg_b2_a_0.1120.0112.csv,,,,,,,,
94.1,833.36,83.65,328.54,72,cycle_ecg_b2_a_0.1120.0114.csv,,,,,,,,
82.09,763.38,113.02,328.74,78.6,cycle_ecg_b2_a_0.01110.0104.csv,,,,,,,,
82.82,757.97,114.08,316.49,79.16,cycle_ecg_b2_a_0.01110.0103.csv,,,,,,,,
82.01,769.01,112.9,328.86,78.02,cycle_ecg_b2_a_0.01110.0105.csv,,,,,,,,
82.25,774.58,95.84,329.41,77.46,cycle_ecg_b2_a_0.01110.0106.csv,,,,,,,,
82.66,780.21,110.11,307.33,76.9,cycle_ecg_b2_a_0.01110.0107.csv,,,,,,,,
83.61,785.98,108.29,332.85,76.34,cycle_ecg_b2_a_0.01110.0108.csv,,,,,,,,
82.87,791.84,107.88,332.76,75.77,cycle_ecg_b2_a_0.01110.0109.csv,,,,,,,,
82.87,791.84,107.88,332.76,75.77,cycle_ecg_b2_a_0.01110.0109.csv,,,,,,,,
82.49,797.82,107.18,332.76,75.21,cycle_ecg_b2_a_0.01110.0110.csv,,,,,,,,
82.69,803.86,105.82,333.16,74.64,cycle_ecg_b2_a_0.01110.0111.csv,,,,,,,,
81.31,809.98,105.45,310.78,74.08,cycle_ecg_b2_a_0.01110.0112.csv,,,,,,,,
81.7,816.06,93.84,333.2,73.52,cycle_ecg_b2_a_0.01110.0113.csv,,,,,,,,
83.15,822.23,100.48,336.81,72.97,cycle_ecg_b2_a_0.01110.0114.csv,,,,,,,,
82.83,828.46,99,337.19,72.42,cycle_ecg_b2_a_0.01110.0115.csv,,,,,,,,
84.4,1049.99,62.41,342.41,57.14,cycle_ecg_b2_a_0.0081.0105.csv,,,,,,,,
85.16,1058.71,57.84,312.79,56.67,cycle_ecg_b2_a_0.0081.0106.csv,,,,,,,,
83.3,1067.92,54.9,346.72,56.18,cycle_ecg_b2_a_0.00810.0107.csv,,,,,,,,
78.93,1077.58,42.1,343.07,55.68,cycle_ecg_b2_a_0.00810.0108.csv,,,,,,,,
77.34,1087.57,50.08,344.38,55.17,cycle_ecg_b2_a_0.00810.0109.csv,,,,,,,,
76.35,1097.69,46.17,343.17,54.66,cycle_ecg_b2_a_0.00810.0110.csv,,,,,,,,
73.71,1107.92,42.71,340.83,54.16,cycle_ecg_b2_a_0.00810.0111.csv,,,,,,,,
70.7,1117.93,39.62,338.82,53.67,cycle_ecg_b2_a_0.00810.0112.csv,,,,,,,,
67.84,1127.41,36.28,338.25,53.22,cycle_ecg_b2_a_0.00810.0113.csv,,,,,,,,
65.06,1136.32,33.43,304.85,52.8,cycle_ecg_b2_a_0.00810.0114.csv,,,,,,,,
63.14,1144.35,29.7,337.15,52.43,cycle_ecg_b2_a_0.00810.0115.csv,,,,,,,,
61.19,1151.34,26.06,334.12,52.11,cycle_ecg_b2_a_0.00810.0116.csv,,,,,,,,
