QRS duration (ms),RR peak (ms),PR (ms),QT (ms),bpm
118.2,800.2,94.9,398.8,75
90.7,810.5,104.4,327.1,74.04
92.6,816.2,100.9,320.3,73.51
92.13,805.62,104.57,328.22,74.48
90.77,791.95,106.99,325.29,75.76
91.49,821.6,99.98,302.12,73.03
94.43,830.95,89.14,329.23,72.21
93.91,834.92,87.13,328.84,71.86
93.35,839.12,85.87,328.69,71.5
93.62,843.15,82.8,329.57,71.16
93.23,846.85,80.31,330.12,70.85
94.39,827.2,82.78,328.77,72.53
94.2,823.05,94.61,328.7,72.9
90.91,795.28,108.21,325.28,75.45
91.2,799.79,107.02,325.46,75.02
91.76,800.1,103.95,326.21,74.99
91.95,804.53,102.45,327.22,74.58
90.97,809,101.18,326.82,74.17
92.18,813.42,98.49,319.3,73.76
94.22,817.74,94.21,302.03,73.37
94.66,825.72,91.06,290.08,72.66
94.66,825.72,91.06,290.08,72.66
93.54,825.21,79.35,327.24,72.71
94.1,833.36,83.65,328.54,72
82.09,763.38,113.02,328.74,78.6
82.82,757.97,114.08,316.49,79.16
82.01,769.01,112.9,328.86,78.02
82.25,774.58,95.84,329.41,77.46
82.66,780.21,110.11,307.33,76.9
83.61,785.98,108.29,332.85,76.34
82.87,791.84,107.88,332.76,75.77
82.87,791.84,107.88,332.76,75.77
82.49,797.82,107.18,332.76,75.21
82.69,803.86,105.82,333.16,74.64
81.31,809.98,105.45,310.78,74.08
81.7,816.06,93.84,333.2,73.52
83.15,822.23,100.48,336.81,72.97
82.83,828.46,99,337.19,72.42
84.4,1049.99,62.41,342.41,57.14
85.16,1058.71,57.84,312.79,56.67
83.3,1067.92,54.9,346.72,56.18
78.93,1077.58,42.1,343.07,55.68
77.34,1087.57,50.08,344.38,55.17
76.35,1097.69,46.17,343.17,54.66
73.71,1107.92,42.71,340.83,54.16
70.7,1117.93,39.62,338.82,53.67
67.84,1127.41,36.28,338.25,53.22
65.06,1136.32,33.43,304.85,52.8
63.14,1144.35,29.7,337.15,52.43
61.19,1151.34,26.06,334.12,52.11
59.18,1157.2,22.43,334.45,51.85
56.3,1161.67,20.99,331.9,51.65
53.04,1164.94,19.24,328.87,51.5
83.3,1067.92,54.9,346.72,56.18
82.37,1069.66,55.57,345.21,56.09
82.12,1071.07,54.66,345.05,56.02
81.31,1072.47,54.49,344.94,55.95
82.08,1073.83,53.32,346.63,55.87
82.08,1073.83,53.32,346.63,55.87
81.28,1076.99,51.85,347.03,55.71
80.45,1078.48,52.62,344.64,55.63
78.83,1080.04,53.63,345.27,55.55
79.59,1081.49,52.48,346.09,55.48
79.29,1083.08,50.61,345.75,55.4
94.28,788.33,95.3,325.38,76.11
93.44,792.41,94.73,326.07,75.72
94.94,795.36,90.07,326.95,75.44
94.55,796.7,86.79,325.52,75.31
95.66,802.21,82.83,322.9,74.79
94.96,805.48,71.95,301.64,74.49
95.17,809.27,78.8,327.64,74.14
94.77,811.59,76.5,326.33,73.93
94.87,813.43,73.89,326.81,73.76
94.72,815.11,71.2,327.71,73.61
90.65,751.86,119.39,323.76,79.8
89.55,764.27,118.01,301.61,78.51
90.27,767.45,117.19,323.96,78.18
91.14,776.97,114.83,324.46,77.22
91.41,780.91,112.2,325.48,76.83
91.75,784.31,102.71,312.89,76.5
91.73,786.59,108.78,297.44,76.28
93.15,834.94,86.63,327.94,71.86
93.75,838.72,83.52,328.74,71.54
93.77,842.5,80.96,329.1,71.22
88.6,811.97,108.55,330.79,73.89
87.2,826.28,93.31,325.22,72.61
90.34,828.77,109.18,329.46,72.4
90.56,832.82,107.88,329.59,72.04
89.56,836.72,108.37,329.17,71.71
89.67,840.42,106.5,329.4,71.39
91.4,844.18,103.46,330.66,71.08
92.27,848.32,101.21,328.91,70.73
91.11,852.79,100.53,315.44,70.36
91.64,857.26,98.08,302.16,69.99
91.23,861.65,96.77,330.77,69.63
90.81,865.95,95.33,329.24,69.29
91.41,871.74,92.97,331.88,68.83
84.45,876.33,75.18,324.51,68.47
92.34,880.88,86.76,333.72,68.11
92.69,885.59,83.68,324.41,67.75
91.74,890.31,81.32,305.44,67.39
91.28,895.38,78.15,332.76,67.01
92.38,900.14,74.11,335.21,66.66
92.83,904.92,69.96,336.21,66.3
91.37,807.55,104.47,326.52,74.3
90.87,802.24,105.87,326.58,74.79
93.92,850.5,77.01,322.57,70.55
92.05,853.9,75.52,308.71,70.27
92.29,857.05,71.48,298.26,70.01
93.4,860.11,67.79,331.01,69.76
92.62,862.88,64.92,330.69,69.53
93.62,850.52,76.63,321.18,70.55
92.51,853.75,75.13,308.68,70.28
92.82,857.04,71.1,298.01,70.01
92.36,860.16,68.68,329.75,69.75
92.82,862.89,65.57,329.2,69.53
92.29,857.05,71.48,298.26,70.01
93.4,860.11,67.79,331.01,69.76
92.62,862.88,64.92,330.69,69.53
93.62,850.52,76.63,321.18,70.55
92.51,853.75,75.13,308.68,70.28
